laringe,garganta,substantivo de dois generos,la-rin-ge
serrar,filar.tracar.cortar.separar,verbo intransitivo.verbo transitivo direto.regular,ser-rar
oleo,azeite,substantivo masculino,o-le-o
proverbio,adagio.anexim.apotegma.ditado.dito.maxima.pensamento.aforismo,substantivo masculino,pro-ver-bi-o
riso,risada.hilaridade,substantivo masculino,ri-so
etiqueta,distico.letreiro.rotulo,substantivo feminino,e-ti-que-ta
horizonte,perspectiva.porvir.ambito.panorama,substantivo masculino,ho-ri-zon-te
depressao,abatimento.abaixamento.humilhacao,substantivo feminino,de-pres-sao
boato,balela.rumor.mexerico.coscuvilhice,substantivo masculino,bo-a-to
estrangeiro,estranho.exotico.adventicio.advena.alienigena.forasteiro,adjetivo.substantivo masculino,es-tran-gei-ro
barbeiro,figaro,adjetivo.substantivo masculino,bar-bei-ro
aviador,aeronauta,adjetivo.substantivo masculino,a-vi-a-dor
gato,descuido.engano.erro.gancho.grampo.lapso.felino.grapa.gambiarra.gatuno.gatao,substantivo masculino,ga-to
comprimido,apertado,adjetivo.substantivo masculino,com-pri-mi-do
bolha,ampola.borbulha.empola,adjetivo de dois generos.substantivo de dois generos,bo-lha
carteira,banca.mesa.secretaria,substantivo feminino,car-tei-ra
fracao,parte.parcela.pedaco.divisao.separacao.quebra,substantivo feminino,fra-cao
horoscopo,prenuncio.pressagio.previsao.profecia.prognostico.augurio.horoscopio.vaticinio,substantivo masculino,ho-ros-co-po
multiplicacao,proliferacao.propagacao.aumento.reproducao.difusao.desdobramento,substantivo feminino,mul-ti-pli-ca-cao
amendoim,mendubi,substantivo masculino,a-men-do-im
arco,circulo.roda,substantivo masculino,ar-co
sentir,apreciar.compreender.lamentar.perceber.ter.magoar.pressentir.ponto de vista.intuir.adivinhar.entender,substantivo masculino.verbo intransitivo.verbo pronominal.verbo transitivo direto.irregular,sen-tir
trombeta,corneta.tuba,substantivo de dois generos,trom-be-ta
padre,arcebispo.clerigo.prior.paroco.vigario,substantivo masculino,pa-dre
vicio,mania.perversao.pecado.depravacao.defeito,substantivo masculino,vi-ci-o
diferenciar,distinguir.diferencar.discernir.discriminar,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,di-fe-ren-ci-ar
coelho,cacapo.laparo,adjetivo.substantivo masculino,co-e-lho
haste,bastao.bordao.cajado.chibata.mastro.pau.vara.viga,substantivo feminino,has-te
vapor,exalacao.fumo,substantivo masculino,va-por
enviar,expedir.comunicar.legar.remeter.transmitir,verbo bitransitivo.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,en-vi-ar
neto,limpido.nitido,adjetivo.substantivo masculino,ne-to
oceano,mar,adjetivo.substantivo masculino,o-ce-a-no
teatro,comedia,substantivo masculino,te-a-tro
clava,cachamorra.maca.tacape,substantivo feminino,cla-va
vara,mastro.haste.cajado.bordao.bastao.vergasta.verdasca.chibata.pau.viga,substantivo feminino,va-ra
virgem,intacto.inviolado,adjetivo de dois generos.substantivo de dois generos,vir-gem
narracao,historia.conto.narrativa,substantivo feminino,nar-ra-cao
ima,imame,substantivo masculino,i-ma
rechonchudo,anafado.gordo.gorducho.assoprado,adjetivo,re-chon-chu-do
barato,baixo,adjetivo.adverbio.substantivo masculino,ba-ra-to
tocha,archote.brandao.facho.fogareu,substantivo feminino,to-cha
valor,importancia.merito.preco.prestimo.valia.legitimidade.estima.consideracao.relevancia,substantivo masculino,va-lor
fio,amarrilho.linha.filamento.corte.cordel.gume,substantivo masculino,fi-o
cornija,coronide,substantivo feminino,cor-ni-ja
lixeira,esterqueira.alfurja.monturo,substantivo feminino,li-xei-ra
albergue,estalagem.pousada.albergaria.hospedagem.hospedaria,substantivo masculino,al-ber-gue
brasileiro,brasilio.brasiliano.brasilico,adjetivo.substantivo masculino,bra-si-lei-ro
perguntar,pedir.demandar.inquirir.interrogar.solicitar.indagar.investigar.questionar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo indireto.regular,per-gun-tar
folha,esgalho.penca,substantivo feminino,fo-lha
mensagem,advertencia.aviso.recado,substantivo feminino,men-sa-gem
bone,boina.capelo.chapeu,substantivo masculino,bo-ne
portatil,maneiro.manejavel.versatil,adjetivo de dois generos,por-ta-til
nave,navio.templo,substantivo feminino,na-ve
procurar,esforcar.perseguir.pesquisar.atrair.investigar.buscar,verbo intransitivo.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,pro-cu-rar
roxo,purpureo.violaceo.inquieto.ansioso.desejoso,adjetivo.substantivo masculino,ro-xo
conquistar,capturar.tomar.invadir.ocupar,verbo bitransitivo.verbo transitivo direto.verbo transitivo direto e indireto.regular,con-quis-tar
ousar,arriscar.arrojar.tentar.decidir.atrever.intentar.empreender,verbo intransitivo.verbo transitivo direto.verbo transitivo indireto.regular,ou-sar
espiral,lesma,adjetivo de dois generos.substantivo feminino,es-pi-ral
maduro,amadurecido.experimentado.ladino.sazonado.veterano,adjetivo.substantivo masculino,ma-du-ro
matar,massacrar.afligir.trucidar.fuzilar.chacinar.assassinar.saciar.destruir.sacrificar.suicidar,verbo intransitivo.verbo pronominal.verbo transitivo direto.irregular,ma-tar
caderno,folheto.brochura,substantivo masculino,ca-der-no
garrafa,botelha.frasco,substantivo feminino,gar-ra-fa
livro,alfarrabio.calhamaco.cartapacio,substantivo masculino,li-vro
foto,fotografia,substantivo de dois generos,fo-to
aluguel,aluguer.frete.locacao.renda,substantivo masculino,a-lu-guel
resumo,compendio.epitome.resenha.sinopse.sumario.sintese.sumula,substantivo masculino,re-su-mo
papada,papo.barbela,substantivo feminino,pa-pa-da
anao,nanico,adjetivo.substantivo masculino,a-nao
entrar,ingressar.contribuir.adentrar.invadir.subscrever.calar.iniciar.comecar.meter.introduzir.enfiar.transpor.penetrar.embarafustar,verbo intransitivo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo indireto.regular,en-trar
suburbio,arrabalde.cercanias.circunvizinhanca,substantivo masculino,su-bur-bi-o
bater,esbarrar.colidir.embater.desancar.fustigar.sovar.azorragar.vergastar.zurzir.chocar.abalroar.escadeirar.espancar.maltratar.percutir.profligar.acoitar.abater.vencer.derrotar,verbo intransitivo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.verbo transitivo indireto.verbo transitivo indireto e circunstancial.regular,ba-ter
ato,pobretao.dedo.auto.declaracao.inutil.insignificante.feito.ordinario.profissao.feita,substantivo masculino,a-to
assalto,acometida.opugnacao.ofensiva.investida.cometida.ataque.arremetida.agressao.surtida,substantivo masculino,as-sal-to
calcada,passeio,substantivo feminino,cal-ca-da
grade,cadeia.carcere.sebe.gradil,substantivo de dois generos,gra-de
magico,mago.feiticeiro,adjetivo.substantivo masculino,ma-gi-co
imenso,excessivo.enorme.desmesurado.desmedido.descomunal.descomedido.colossal.desmarcado.agigantado,adjetivo.adverbio,i-men-so
bandagem,atadura.faixa.banda,substantivo feminino,ban-da-gem
pimenta,brigona.lubricidade.sensualidade.ativo.inquieto.travesso.poto.pimenteiro.malicia.maldade.pimenteira,substantivo feminino,pi-men-ta
pulsar,palpitar.impelir.agitar.arquejar.latejar,substantivo masculino.verbo intransitivo.verbo transitivo direto.verbo transitivo indireto.regular,pul-sar
tanga,pobreza.indigencia.saiote,substantivo feminino,tan-ga
broca,verruma,substantivo feminino,bro-ca
garra,poder.opressao.tirania.avidez.maos.gadanho.unhas,substantivo feminino,gar-ra
arroto,eructacao,substantivo masculino,ar-ro-to
inferno,baratro,substantivo masculino,in-fer-no
estrada,atalho.caminho.senda.trilho.vereda.via.viela.tramite,substantivo feminino,es-tra-da
duvida,incerteza.ceticismo,substantivo feminino,du-vi-da
cisterna,poco.cava.cacimba,substantivo feminino,cis-ter-na
prego,cavilha.parafuso.tarraxa,substantivo masculino,pre-go
trem,traste.comboio.bafagem,adjetivo de dois generos e dois numeros.substantivo masculino,trem
amanha,futuro.porvir,adverbio.substantivo masculino,a-ma-nha
vergonha,desonra.humilhacao.inseguranca.decoro.timidez.acanhamento.constrangimento,substantivo feminino,ver-go-nha
diario,quotidiano.cotidiano,adjetivo.substantivo masculino,di-a-ri-o
crescer,elevar.ascender.subir.trepar,verbo intransitivo.verbo predicativo.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo indireto.regular,cres-cer
destilar,estilar.exsudar.porejar.ressumbrar.ressumar,verbo intransitivo.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo indireto.regular,des-ti-lar
este,leste.levante.nascente.oriente,pronome demonstrativo.substantivo masculino,es-te
mina,garimpo,adjetivo de dois generos.substantivo de dois generos,mi-na
acougueiro,magarefe.carniceiro,substantivo masculino,a-cou-guei-ro
piscar,pestanear.pestanejar,substantivo masculino.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,pis-car
salvar,auxiliar.felicitar.cumprimentar.congratular.socorrer.coadjuvar.ajudar.acudir.acolitar.saudar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.irregular,sal-var
vidro,frasco,substantivo masculino,vi-dro
longe,distanciado,adjetivo de dois generos.adverbio.interjeicao.substantivo masculino,lon-ge
aparencia,ar.aspecto.figura.fisionomia.semblante.exterioridade.verossimilhanca.engano,substantivo feminino,a-pa-ren-ci-a
primario,primordial.primitivo,adjetivo.substantivo masculino,pri-ma-ri-o
receber,recolher.arrecadar.recepcionar.receptar,verbo intransitivo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo direto e indireto.regular,re-ce-ber
abobora,jerimu.jerimum.aboboreira,adjetivo de dois generos e dois numeros.substantivo de dois generos,a-bo-bo-ra
quadril,ilharga.cadeira.anca,substantivo masculino,qua-dril
pontape,chuto.chute,substantivo masculino,pon-ta-pe
magro,delgado.fino.franzino,adjetivo.substantivo masculino,ma-gro
balde,cacamba,adjetivo.substantivo masculino,bal-de
molho,atado.atilho.feixe.lio.macaroca.punhado,substantivo masculino,mo-lho
equipamento,equipagem,substantivo masculino,e-qui-pa-men-to
olhos,vista.visao.olhar,substantivo masculino.locucao adverbial.expressao,o-lhos
aldeia,localidade.lugarejo.povoado.povoacao,substantivo feminino,al-dei-a
mirante,mirone.miradouro.observatorio,substantivo masculino,mi-ran-te
dom,condao.faculdade.virtude.dadiva.oferta.oferenda.beneficio.aptidao.talento,substantivo masculino,dom
amanhecer,alvorecer.raiar,substantivo masculino.verbo intransitivo.verbo predicativo.verbo transitivo circunstancial.regular,a-ma-nhe-cer
revolucao,revolta.sedicao.sublevacao.rebeliao.subversao.mudanca,substantivo feminino,re-vo-lu-cao
cancao,canto.cantico.hino.toada.cantiga.cantar.trova,substantivo feminino,can-cao
madeira,pau.lenha.lenho,substantivo de dois generos,ma-dei-ra
tripulacao,chusma,substantivo feminino,tri-pu-la-cao
chuveiro,chuvisco,substantivo masculino,chu-vei-ro
desatar,desdar,verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,de-sa-tar
eternidade,evo.perpetuidade,substantivo feminino,e-ter-ni-da-de
carie,destruicao,substantivo feminino,ca-ri-e
buque,ramalhete.ramilhete,substantivo masculino,bu-que
mascote,talisma.amuleto,substantivo feminino.substantivo masculino,mas-co-te
telegrama,despacho.comunicado,substantivo masculino,te-le-gra-ma
anunciar,proclamar.aclamar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,a-nun-ci-ar
exercito,tropa,substantivo masculino,e-xer-ci-to
procriar,gerar.germinar.produzir.conceber.multiplicar.criar.fazer,verbo intransitivo.verbo transitivo direto.regular,pro-cri-ar
fabrica,industria.oficina.manufatura,substantivo de dois generos,fa-bri-ca
calendario,almanaque.anuario.efemeride.folhinha.cronograma,substantivo masculino,ca-len-da-ri-o
aposta,parada,substantivo feminino,a-pos-ta
cativeiro,escravidao.jugo.servidao.prisao.dominio,substantivo masculino,ca-ti-vei-ro
concha,valva,substantivo feminino,con-cha
ilha,ilhota.ilheu,substantivo feminino,i-lha
suspeito,equivoco.malvisto.perigoso.suspeicao.duvidoso,adjetivo.substantivo masculino,sus-pei-to
policial,vigilante,adjetivo de dois generos.substantivo de dois generos,po-li-ci-al
comprar,adquirir,verbo bitransitivo.verbo transitivo direto.verbo transitivo direto e indireto.regular,com-prar
girafa,grande.alto.comprido,substantivo feminino,gi-ra-fa
guerra,batalha,substantivo feminino,guer-ra
cerco,sitio.assedio.bloqueio,substantivo masculino,cer-co
dividir,disjungir.desunir.desconjuntar.apartar.cortar.repartir.fragmentar.quebrar.despedacar.partir.esconjuntar.separar,verbo bitransitivo.verbo bitransitivo e circunstancial.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,di-vi-dir
folclore,mentira.lenda.invencao.populario,substantivo masculino,fol-clo-re
gravidez,fetacao.gravidacao.prenhez.prenhidao.gestacao,substantivo feminino,gra-vi-dez
declamar,pronunciar.proferir.articular.ler.recitar,verbo intransitivo.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,de-cla-mar
prata,prataria.dinheiro,substantivo feminino,pra-ta
sorte,destino.fado,substantivo feminino,sor-te
oferta,esmola.doacao.donativo.dadiva.oferenda.oferecimento,substantivo feminino,o-fer-ta
artificial,sintetico,adjetivo de dois generos,ar-ti-fi-ci-al
chocalho,campainha.guizo,substantivo masculino,cho-ca-lho
biscoito,bolacha,adjetivo de dois generos e dois numeros.substantivo masculino,bis-coi-to
explorar,estudar.examinar.analisar.averiguar.indagar.investigar,verbo transitivo direto.regular,ex-plo-rar
exercicio,manobra.tirocinio.treino,substantivo masculino,e-xer-ci-ci-o
pirata,corsario,adjetivo de dois generos.substantivo de dois generos,pi-ra-ta
montanha,serra,substantivo feminino,mon-ta-nha
sapato,calcado,substantivo masculino,sa-pa-to
ancoradouro,fundeadouro.surgidouro,substantivo masculino,an-co-ra-dou-ro
aparar,apontar.afiar.agucar.amolar,verbo transitivo direto.regular,a-pa-rar
franzir,crispar,verbo pronominal.verbo transitivo direto.regular,fran-zir
cinta,cinto.cinturao,substantivo feminino,cin-ta
cor,partido.faccao.bandeira.colorido.carater.coloracao.representacao.negalho,substantivo de dois generos,cor
resposta,refutacao.reacao.replica,substantivo feminino,res-pos-ta
interno,interior,adjetivo.substantivo masculino,in-ter-no
beco,viela,substantivo masculino,be-co
irritar,exasperar.tempestuar.raivar.enraivecer.enfurecer.enervar.encolerizar.embravecer.desesperar.assomar.acirrar.abespinhar.irar.zangar,verbo pronominal.verbo transitivo direto.regular,ir-ri-tar
lanterna,fanal.farol.luminaria.farolete,substantivo de dois generos,lan-ter-na
jantar,boiar,substantivo masculino.verbo intransitivo.verbo transitivo direto.regular,jan-tar
noiva,prometida,substantivo feminino,noi-va
epidemia,praga.andaco.contagio,substantivo feminino,e-pi-de-mi-a
cumprimentar,salvar.congratular.felicitar.saudar,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,cum-pri-men-tar
contrato,pacto.acordo.combinacao.convencao.convenio.negocio.tratado,adjetivo.substantivo masculino,con-tra-to
quina,esquina.canto,substantivo feminino,qui-na
pintura,painel.quadro.tela,substantivo feminino,pin-tu-ra
guia,guiao.itinerario.cicerone.derrota.rota.roteiro,substantivo de dois generos,gui-a
bingo,loto.vispora,interjeicao.substantivo masculino,bin-go
esboco,bosquejo.debuxo.desenho.escorco.rascunho.tracado.resumo.sintese.comeco,substantivo masculino,es-bo-co
coluna,pilar.pilastra.poste,substantivo feminino,co-lu-na
mobiliario,mobilia.mobilha,adjetivo.substantivo masculino,mo-bi-li-a-ri-o
progenitor,pai.ancestral.antepassado.genitor,substantivo masculino,pro-ge-ni-tor
submarino,imergido.submergido,adjetivo.substantivo masculino,sub-ma-ri-no
cobertura,envoltorio.capote.capa.valhacouto.reduto.asilo.abrigo.abrigada.refugio.resguardo.revestimento.toga,substantivo feminino,co-ber-tu-ra
cabeca,carola.bestunto.cachimonia,apositivo.substantivo de dois generos,ca-be-ca
obeso,abdominoso.adiposo.barrigudo.anafado.gordo,adjetivo,o-be-so
dicionario,lexico.glossario,substantivo masculino,di-ci-o-na-ri-o
pista,perseguicao.trilha.treita.rastro.rasto.indignacao.encalco.vestigio.indicio.pegada.peugada.orientacao,substantivo feminino,pis-ta
picante,acetoso.apimentado.amaro.amargoso.amargo.agro.agre.acre.acerbo.avinagrado.azedo,adjetivo de dois generos.substantivo masculino,pi-can-te
fotografia,retrato,substantivo feminino,fo-to-gra-fi-a
medida,escantilhao.estalao.padrao.norma.bitola.craveira,substantivo feminino,me-di-da
verdor,vico.vicoso,substantivo masculino,ver-dor
radiodifusor,radioemissor,adjetivo.substantivo masculino,ra-di-o-di-fu-sor
ovelha,carneira,substantivo feminino,o-ve-lha
balanco,abalo.acerto.trapezio.gangorra.solavanco.verificacao.sacudidela.inventario.balouco,substantivo masculino,ba-lan-co
cinza,cinzento.desolacao,adjetivo de dois generos e dois numeros.substantivo de dois generos,cin-za
servir,auxiliar.ajudar.satisfazer.alimentar.dar.fornecer.substituir,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo indireto.regular,ser-vir
amuleto,talisma.figa,substantivo masculino,a-mu-le-to
gramado,relvado,adjetivo.substantivo masculino,gra-ma-do
balanca,embalo,substantivo feminino,ba-lan-ca
assistencia,adjutorio.ajuda.ambulancia.amparo.auditorio.cooperacao.presenca.socorro.auxilio,substantivo feminino,as-sis-ten-ci-a
cana,aguardente,substantivo de dois generos,ca-na
homicidio,assassinato.assassinio,substantivo masculino,ho-mi-ci-di-o
historiador,cronista.historiografo,adjetivo.substantivo masculino,his-to-ri-a-dor
televisao,teve.tv.televisor.estacao,substantivo feminino,te-le-vi-sao
freio,jugo.obstaculo.repressao.sujeicao,substantivo masculino,frei-o
resto,demasia.excedente.excesso.remanescente.restante.sobejo.sobra.troco,substantivo masculino,res-to
coletar,juntar.reunir.recolher.receber.cobrar.acumular.obrigar.onerar.taxar.contribuir,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,co-le-tar
prisioneiro,encarcerado.enclausurado.aprisionado.cativo.detido,adjetivo.substantivo masculino,pri-si-o-nei-ro
bairro,arrabalde.suburbio,substantivo masculino,bair-ro
assistente,adjutor.auxiliador.auxiliante.acolito.ajudante.assessor.coadjutor,adjetivo de dois generos.substantivo de dois generos,as-sis-ten-te
palacio,alcacaria.alcacer.corte,substantivo masculino,pa-la-ci-o
raio,relampago,interjeicao.substantivo masculino,rai-o
saida,partida.abalada,substantivo feminino,sa-i-da
brinquedo,gracejo.folguedo.brinco.gaudio.jogo,substantivo masculino,brin-que-do
produzir,criar.fabricar.gerar,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,pro-du-zir
catedral,convento.templo.santuario.igreja.basilica.abadia.se.presbiterio.mosteiro.adito,adjetivo de dois generos.substantivo feminino,ca-te-dral
raiz,estirpe.radical.germe.fralda.origem.vinculo.fundamento.tema.comeco.causa.ligacao.sope.principio,substantivo feminino,ra-iz
dado,oferecido,adjetivo.pronome indefinido.substantivo masculino,da-do
assobio,apito.sibilo.silvo,substantivo masculino,as-so-bi-o
campo,planicie.prado.dominio.area.assunto.terreno,substantivo masculino,cam-po
agricultor,colono.cultivador.cultor.lavrador,adjetivo.substantivo masculino,a-gri-cul-tor
espirito,razao.animo.raciocinio.inteligencia.duende.humor.mente.sal.memoria.imaginacao.essencia.acepcao.sentido.alma.finura.graca.aguardente.nume.alcool,substantivo masculino,es-pi-ri-to
programa,plataforma.software.projeto.credo.designio.itinerario.plano.esboco.programacao.prospecto,substantivo masculino,pro-gra-ma
lenhador,rachador,adjetivo.substantivo masculino,le-nha-dor
toque,contato,substantivo masculino,to-que
insurreicao,levantamento.motim.revolta.pronunciamento.sublevacao,substantivo feminino,in-sur-rei-cao
arpao,abalroa.arpeu.balroa.fateixa.fisga,substantivo masculino,ar-pao
enterrar,encovar.inumar.sepultar.tumular,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,en-ter-rar
interprete,tradutor,substantivo de dois generos,in-ter-pre-te
esporte,desporto,adjetivo de dois generos e dois numeros.substantivo masculino,es-por-te
